date,aqi
2023-05-20,151
2023-05-21,108
2023-05-22,192
2023-05-23,330
2023-05-24,190
2023-05-25,172
2023-05-26,130
2023-05-27,94
2023-05-28,168
2023-05-29,211
2023-05-30,178
2023-05-31,158
2023-06-01,211
2023-06-02,111
2023-06-03,169
2023-06-04,172
2023-06-05,285
2023-06-06,254
2023-06-07,164
2023-06-08,191
2023-06-09,217
2023-06-10,135
2023-06-11,99
2023-06-12,131
2023-06-13,190
2023-06-14,97
2023-06-15,233
2023-06-16,223
2023-06-17,202
2023-06-18,135
2023-06-19,73
2023-06-20,181
2023-06-21,188
2023-06-22,279
2023-06-23,84
2023-06-24,130
2023-06-25,150
2023-06-26,202
2023-06-27,177
2023-06-28,160
2023-06-29,230
2023-06-30,195
2023-07-01,102
2023-07-02,68
2023-07-03,80
2023-07-04,132
2023-07-05,132
2023-07-06,181
2023-07-07,94
2023-07-08,90
2023-07-09,66
2023-07-10,43
2023-07-11,78
2023-07-12,40
2023-07-13,118
2023-07-14,105
2023-07-15,38
2023-07-16,86
2023-07-17,77
2023-07-18,126
2023-07-19,116
2023-07-20,214
2023-07-21,142
2023-07-22,50
2023-07-23,83
2023-07-24,168
2023-07-25,105
2023-07-26,86
2023-07-27,89
2023-07-28,52
2023-07-29,98
2023-07-30,48
2023-07-31,101
2023-08-01,136
2023-08-02,29
2023-08-03,31
2023-08-04,131
2023-08-05,83
2023-08-06,23
2023-08-07,146
2023-08-08,81
2023-08-09,57
2023-08-10,122
2023-08-11,149
2023-08-12,92
2023-08-13,78
2023-08-14,97
2023-08-15,108
2023-08-16,120
2023-08-17,154
2023-08-18,119
2023-08-19,112
2023-08-20,73
2023-08-21,144
2023-08-22,52
2023-08-23,88
2023-08-24,131
2023-08-25,98
2023-08-26,48
2023-08-27,106
2023-08-28,176
2023-08-29,94
2023-08-30,88
2023-08-31,131
2023-09-01,42
2023-09-02,135
2023-09-03,44
2023-09-04,87
2023-09-05,98
2023-09-06,48
2023-09-07,118
2023-09-08,59
2023-09-09,30
2023-09-10,28
2023-09-11,130
2023-09-12,68
2023-09-13,147
2023-09-14,59
2023-09-15,142
2023-09-16,58
2023-09-17,57
2023-09-18,74
2023-09-19,162
2023-09-20,186
2023-09-21,70
2023-09-22,104
2023-09-23,97
2023-09-24,110
2023-09-25,127
2023-09-26,106
2023-09-27,56
2023-09-28,107
2023-09-29,118
2023-09-30,29
2023-10-01,126
2023-10-02,96
2023-10-03,156
2023-10-04,63
2023-10-05,176
2023-10-06,120
2023-10-07,112
2023-10-08,122
2023-10-09,141
2023-10-10,63
2023-10-11,143
2023-10-12,147
2023-10-13,126
2023-10-14,20
2023-10-15,93
2023-10-16,108
2023-10-17,79
2023-10-18,89
2023-10-19,120
2023-10-20,59
2023-10-21,98
2023-10-22,42
2023-10-23,131
2023-10-24,129
2023-10-25,46
2023-10-26,116
2023-10-27,130
2023-10-28,100
2023-10-29,150
2023-10-30,70
2023-10-31,28
2023-11-01,316
2023-11-02,256
2023-11-03,275
2023-11-04,327
2023-11-05,187
2023-11-06,230
2023-11-07,277
2023-11-08,377
2023-11-09,399
2023-11-10,311
2023-11-11,276
2023-11-12,301
2023-11-13,340
2023-11-14,386
2023-11-15,319
2023-11-16,307
2023-11-17,380
2023-11-18,257
2023-11-19,215
2023-11-20,307
2023-11-21,372
2023-11-22,324
2023-11-23,227
2023-11-24,265
2023-11-25,200
2023-11-26,229
2023-11-27,385
2023-11-28,399
2023-11-29,258
2023-11-30,428
2023-12-01,311
2023-12-02,164
2023-12-03,231
2023-12-04,237
2023-12-05,324
2023-12-06,156
2023-12-07,347
2023-12-08,379
2023-12-09,245
2023-12-10,305
2023-12-11,395
2023-12-12,266
2023-12-13,290
2023-12-14,340
2023-12-15,331
2023-12-16,232
2023-12-17,220
2023-12-18,334
2023-12-19,368
2023-12-20,325
2023-12-21,349
2023-12-22,330
2023-12-23,247
2023-12-24,229
2023-12-25,406
2023-12-26,274
2023-12-27,309
2023-12-28,392
2023-12-29,235
2023-12-30,180
2023-12-31,176
2024-01-01,337
2024-01-02,396
2024-01-03,301
2024-01-04,316
2024-01-05,301
2024-01-06,232
2024-01-07,164
2024-01-08,239
2024-01-09,317
2024-01-10,302
2024-01-11,232
2024-01-12,285
2024-01-13,246
2024-01-14,264
2024-01-15,338
2024-01-16,396
2024-01-17,225
2024-01-18,284
2024-01-19,358
2024-01-20,214
2024-01-21,245
2024-01-22,312
2024-01-23,286
2024-01-24,267
2024-01-25,344
2024-01-26,326
2024-01-27,241
2024-01-28,192
2024-01-29,329
2024-01-30,321
2024-01-31,339
2024-02-01,351
2024-02-02,208
2024-02-03,228
2024-02-04,252
2024-02-05,365
2024-02-06,354
2024-02-07,360
2024-02-08,325
2024-02-09,274
2024-02-10,162
2024-02-11,366
2024-02-12,289
2024-02-13,298
2024-02-14,356
2024-02-15,257
2024-02-16,219
2024-02-17,180
2024-02-18,234
2024-02-19,410
2024-02-20,279
2024-02-21,368
2024-02-22,280
2024-02-23,326
2024-02-24,193
2024-02-25,168
2024-02-26,376
2024-02-27,422
2024-02-28,393
2024-02-29,424
2024-03-01,129
2024-03-02,128
2024-03-03,137
2024-03-04,207
2024-03-05,249
2024-03-06,205
2024-03-07,203
2024-03-08,189
2024-03-09,150
2024-03-10,149
2024-03-11,155
2024-03-12,155
2024-03-13,136
2024-03-14,209
2024-03-15,194
2024-03-16,109
2024-03-17,159
2024-03-18,180
2024-03-19,203
2024-03-20,160
2024-03-21,169
2024-03-22,193
2024-03-23,158
2024-03-24,45
2024-03-25,236
2024-03-26,87
2024-03-27,210
2024-03-28,257
2024-03-29,188
2024-03-30,104
2024-03-31,140
2024-04-01,215
2024-04-02,119
2024-04-03,141
2024-04-04,280
2024-04-05,166
2024-04-06,190
2024-04-07,160
2024-04-08,261
2024-04-09,216
2024-04-10,197
2024-04-11,271
2024-04-12,190
2024-04-13,116
2024-04-14,150
2024-04-15,206
2024-04-16,173
2024-04-17,173
2024-04-18,140
2024-04-19,224
2024-04-20,130
2024-04-21,140
2024-04-22,247
2024-04-23,239
2024-04-24,175
2024-04-25,219
2024-04-26,158
2024-04-27,155
2024-04-28,120
2024-04-29,168
2024-04-30,162
2024-05-01,221
2024-05-02,209
2024-05-03,182
2024-05-04,170
2024-05-05,152
2024-05-06,180
2024-05-07,54
2024-05-08,299
2024-05-09,268
2024-05-10,196
2024-05-11,135
2024-05-12,150
2024-05-13,157
2024-05-14,258
2024-05-15,148
2024-05-16,220
2024-05-17,222
2024-05-18,156
2024-05-19,98
2024-05-20,71
2024-05-21,207
2024-05-22,141
2024-05-23,219
2024-05-24,182
2024-05-25,164
2024-05-26,136
2024-05-27,173
2024-05-28,164
2024-05-29,185
2024-05-30,130
2024-05-31,143
2024-06-01,107
2024-06-02,122
2024-06-03,184
2024-06-04,229
2024-06-05,136
2024-06-06,118
2024-06-07,263
2024-06-08,90
2024-06-09,157
2024-06-10,114
2024-06-11,128
2024-06-12,97
2024-06-13,223
2024-06-14,187
2024-06-15,152
2024-06-16,150
2024-06-17,145
2024-06-18,190
2024-06-19,199
2024-06-20,208
2024-06-21,204
2024-06-22,125
2024-06-23,158
2024-06-24,196
2024-06-25,120
2024-06-26,226
2024-06-27,169
2024-06-28,244
2024-06-29,117
2024-06-30,167
2024-07-01,112
2024-07-02,73
2024-07-03,144
2024-07-04,72
2024-07-05,84
2024-07-06,76
2024-07-07,80
2024-07-08,92
2024-07-09,48
2024-07-10,132
2024-07-11,85
2024-07-12,109
2024-07-13,105
2024-07-14,72
2024-07-15,163
2024-07-16,97
2024-07-17,112
2024-07-18,87
2024-07-19,148
2024-07-20,33
2024-07-21,69
2024-07-22,162
2024-07-23,152
2024-07-24,134
2024-07-25,96
2024-07-26,45
2024-07-27,137
2024-07-28,57
2024-07-29,108
2024-07-30,88
2024-07-31,117
2024-08-01,45
2024-08-02,77
2024-08-03,61
2024-08-04,51
2024-08-05,110
2024-08-06,100
2024-08-07,123
2024-08-08,81
2024-08-09,125
2024-08-10,110
2024-08-11,103
2024-08-12,110
2024-08-13,110
2024-08-14,147
2024-08-15,116
2024-08-16,79
2024-08-17,50
2024-08-18,56
2024-08-19,161
2024-08-20,125
2024-08-21,106
2024-08-22,128
2024-08-23,150
2024-08-24,93
2024-08-25,20
2024-08-26,71
2024-08-27,83
2024-08-28,115
2024-08-29,176
2024-08-30,147
2024-08-31,59
2024-09-01,65
2024-09-02,134
2024-09-03,102
2024-09-04,96
2024-09-05,81
2024-09-06,43
2024-09-07,81
2024-09-08,20
2024-09-09,94
2024-09-10,80
2024-09-11,160
2024-09-12,143
2024-09-13,80
2024-09-14,73
2024-09-15,98
2024-09-16,124
2024-09-17,75
2024-09-18,119
2024-09-19,151
2024-09-20,120
2024-09-21,49
2024-09-22,140
2024-09-23,120
2024-09-24,28
2024-09-25,183
2024-09-26,55
2024-09-27,120
2024-09-28,61
2024-09-29,65
2024-09-30,50
2024-10-01,66
2024-10-02,109
2024-10-03,123
2024-10-04,214
2024-10-05,85
2024-10-06,36
2024-10-07,113
2024-10-08,84
2024-10-09,124
2024-10-10,67
2024-10-11,160
2024-10-12,81
2024-10-13,73
2024-10-14,68
2024-10-15,149
2024-10-16,117
2024-10-17,56
2024-10-18,103
2024-10-19,80
2024-10-20,20
2024-10-21,127
2024-10-22,81
2024-10-23,93
2024-10-24,127
2024-10-25,82
2024-10-26,72
2024-10-27,20
2024-10-28,62
2024-10-29,135
2024-10-30,126
2024-10-31,114
2024-11-01,353
2024-11-02,239
2024-11-03,285
2024-11-04,289
2024-11-05,305
2024-11-06,294
2024-11-07,363
2024-11-08,344
2024-11-09,245
2024-11-10,200
2024-11-11,384
2024-11-12,238
2024-11-13,338
2024-11-14,318
2024-11-15,327
2024-11-16,274
2024-11-17,246
2024-11-18,375
2024-11-19,279
2024-11-20,250
2024-11-21,263
2024-11-22,302
2024-11-23,186
2024-11-24,175
2024-11-25,300
2024-11-26,318
2024-11-27,232
2024-11-28,328
2024-11-29,293
2024-11-30,222
2024-12-01,219
2024-12-02,158
2024-12-03,234
2024-12-04,222
2024-12-05,309
2024-12-06,262
2024-12-07,172
2024-12-08,191
2024-12-09,267
2024-12-10,270
2024-12-11,244
2024-12-12,241
2024-12-13,357
2024-12-14,224
2024-12-15,164
2024-12-16,373
2024-12-17,328
2024-12-18,305
2024-12-19,255
2024-12-20,300
2024-12-21,297
2024-12-22,199
2024-12-23,347
2024-12-24,311
2024-12-25,238
2024-12-26,387
2024-12-27,278
2024-12-28,206
2024-12-29,273
2024-12-30,345
2024-12-31,265
2025-01-01,342
2025-01-02,254
2025-01-03,250
2025-01-04,248
2025-01-05,160
2025-01-06,291
2025-01-07,333
2025-01-08,264
2025-01-09,259
2025-01-10,332
2025-01-11,141
2025-01-12,163
2025-01-13,224
2025-01-14,385
2025-01-15,301
2025-01-16,273
2025-01-17,365
2025-01-18,274
2025-01-19,95
2025-01-20,325
2025-01-21,346
2025-01-22,293
2025-01-23,314
2025-01-24,357
2025-01-25,255
2025-01-26,196
2025-01-27,294
2025-01-28,353
2025-01-29,402
2025-01-30,358
2025-01-31,390
2025-02-01,248
2025-02-02,226
2025-02-03,387
2025-02-04,342
2025-02-05,278
2025-02-06,234
2025-02-07,243
2025-02-08,218
2025-02-09,204
2025-02-10,289
2025-02-11,355
2025-02-12,361
2025-02-13,297
2025-02-14,282
2025-02-15,239
2025-02-16,203
2025-02-17,311
2025-02-18,250
2025-02-19,282
2025-02-20,209
2025-02-21,323
2025-02-22,216
2025-02-23,280
2025-02-24,259
2025-02-25,300
2025-02-26,345
2025-02-27,289
2025-02-28,317
2025-03-01,112
2025-03-02,117
2025-03-03,228
2025-03-04,144
2025-03-05,152
2025-03-06,226
2025-03-07,186
2025-03-08,112
2025-03-09,97
2025-03-10,180
2025-03-11,242
2025-03-12,124
2025-03-13,100
2025-03-14,223
2025-03-15,63
2025-03-16,129
2025-03-17,265
2025-03-18,132
2025-03-19,227
2025-03-20,99
2025-03-21,204
2025-03-22,136
2025-03-23,121
2025-03-24,176
2025-03-25,198
2025-03-26,166
2025-03-27,177
2025-03-28,138
2025-03-29,166
2025-03-30,112
2025-03-31,122
2025-04-01,197
2025-04-02,166
2025-04-03,204
2025-04-04,160
2025-04-05,100
2025-04-06,161
2025-04-07,209
2025-04-08,208
2025-04-09,229
2025-04-10,242
2025-04-11,152
2025-04-12,149
2025-04-13,117
2025-04-14,197
2025-04-15,213
2025-04-16,183
2025-04-17,138
2025-04-18,189
2025-04-19,143
2025-04-20,134
2025-04-21,201
2025-04-22,184
2025-04-23,167
2025-04-24,232
2025-04-25,216
2025-04-26,89
2025-04-27,88
2025-04-28,131
2025-04-29,128
2025-04-30,179
2025-05-01,128
2025-05-02,218
2025-05-03,71
2025-05-04,167
2025-05-05,260
2025-05-06,215
2025-05-07,187
2025-05-08,253
2025-05-09,103
2025-05-10,121
2025-05-11,158
2025-05-12,169
2025-05-13,195
2025-05-14,83
2025-05-15,167
2025-05-16,157
2025-05-17,226
2025-05-18,105
2025-05-19,238
2025-05-20,114
2025-05-21,247
2025-05-22,148
2025-05-23,231
2025-05-24,140
2025-05-25,133
2025-05-26,189
2025-05-27,216
2025-05-28,259
2025-05-29,267
2025-05-30,137
2025-05-31,136
2025-06-01,120
2025-06-02,180
2025-06-03,242
2025-06-04,221
2025-06-05,190
2025-06-06,178
2025-06-07,114
2025-06-08,132
2025-06-09,121
2025-06-10,227
2025-06-11,219
2025-06-12,184
2025-06-13,232
2025-06-14,153
2025-06-15,102
2025-06-16,197
2025-06-17,131
2025-06-18,277
2025-06-19,198
2025-06-20,178
2025-06-21,139
2025-06-22,165
2025-06-23,214
2025-06-24,121
2025-06-25,103
2025-06-26,170
2025-06-27,178
2025-06-28,134
2025-06-29,108
2025-06-30,126
2025-07-01,83
2025-07-02,134
2025-07-03,65
2025-07-04,108
2025-07-05,71
2025-07-06,77
2025-07-07,27
2025-07-08,103
2025-07-09,132
2025-07-10,124
2025-07-11,93
2025-07-12,73
2025-07-13,99
2025-07-14,118
2025-07-15,140
2025-07-16,136
2025-07-17,90
2025-07-18,101
2025-07-19,123
2025-07-20,81
2025-07-21,65
2025-07-22,74
2025-07-23,20
2025-07-24,84
2025-07-25,111
2025-07-26,76
2025-07-27,99
2025-07-28,57
2025-07-29,30
2025-07-30,83
2025-07-31,93
2025-08-01,92
2025-08-02,20
2025-08-03,52
2025-08-04,85
2025-08-05,137
2025-08-06,81
2025-08-07,99
2025-08-08,129
2025-08-09,83
2025-08-10,60
2025-08-11,81
2025-08-12,74
2025-08-13,31
2025-08-14,52
2025-08-15,70
2025-08-16,74
2025-08-17,57
2025-08-18,90
2025-08-19,62
2025-08-20,120
2025-08-21,132
2025-08-22,38
2025-08-23,107
2025-08-24,20
2025-08-25,142
2025-08-26,114
2025-08-27,156
2025-08-28,161
2025-08-29,86
2025-08-30,41
2025-08-31,45
2025-09-01,87
2025-09-02,103
2025-09-03,131
2025-09-04,62
2025-09-05,89
2025-09-06,40
2025-09-07,51
2025-09-08,155
2025-09-09,109
2025-09-10,120
2025-09-11,113
2025-09-12,61
2025-09-13,89
2025-09-14,54
2025-09-15,101
2025-09-16,142
2025-09-17,131
2025-09-18,20
2025-09-19,130
2025-09-20,92
2025-09-21,57
2025-09-22,110
2025-09-23,130
2025-09-24,118
2025-09-25,99
2025-09-26,36
2025-09-27,76
2025-09-28,58
2025-09-29,99
2025-09-30,79
2025-10-01,34
2025-10-02,191
2025-10-03,119
2025-10-04,48
2025-10-05,60
2025-10-06,73
2025-10-07,124
2025-10-08,64
2025-10-09,84
2025-10-10,130
2025-10-11,126
2025-10-12,43
2025-10-13,72
2025-10-14,91
2025-10-15,114
2025-10-16,135
2025-10-17,50
2025-10-18,65
2025-10-19,98
2025-10-20,99
2025-10-21,127
2025-10-22,103
2025-10-23,78
2025-10-24,60
2025-10-25,61
2025-10-26,81
2025-10-27,118
2025-10-28,105
2025-10-29,97
2025-10-30,88
2025-10-31,87
2025-11-01,175
2025-11-02,253
2025-11-03,261
2025-11-04,398
2025-11-05,320
2025-11-06,290
2025-11-07,374
2025-11-08,188
2025-11-09,177
2025-11-10,212
2025-11-11,261
2025-11-12,340
2025-11-13,368
2025-11-14,302
2025-11-15,272
2025-11-16,273
2025-11-17,261
2025-11-18,327
2025-11-19,293
2025-11-20,263
2025-11-21,204
2025-11-22,233
2025-11-23,200
2025-11-24,290
2025-11-25,300
2025-11-26,243
2025-11-27,273
2025-11-28,344
2025-11-29,286
2025-11-30,189
2025-12-01,314
2025-12-02,264
2025-12-03,251
2025-12-04,316
2025-12-05,240
2025-12-06,267
2025-12-07,237
2025-12-08,252
2025-12-09,252
2025-12-10,274
2025-12-11,350
2025-12-12,413
2025-12-13,255
2025-12-14,115
2025-12-15,238
2025-12-16,295
2025-12-17,221
2025-12-18,432
2025-12-19,203
2025-12-20,259
2025-12-21,221
2025-12-22,372
2025-12-23,316
2025-12-24,270
2025-12-25,339
2025-12-26,272
2025-12-27,257
2025-12-28,211
2025-12-29,311
2025-12-30,277
